Fr,En
de,of
je,I
est,is
pas,not
le,the
que,that
la,the
tu,you
vous,you
un,a
et,and
à,at
il,he
a,has
ne,not
les,them
en,in
on,we
ça,that
ce,this
pour,to
ai,have
des,of the
qui,who
dans,in
nous,we
elle,she
bien,good
me,me
si,if
du,of
y,Y
suis,am
non,no
avec,with
plus,more
mon,my
te,you
au,to
fait,does
moi,me
oui,yes
était,was
va,goes
as,AS
faire,make
ils,they
sur,on
quoi,what
se,se
comme,as
sais,know
veux,want
être,be
ma,my
toi,you
dit,said
lui,him
votre,your
es,es
pourquoi,why
où,where
rien,nothing
là,the
cette,that
sont,are
peux,can
quand,when
dire,say
son,his
ton,your
alors,so
vais,go
comment,How? 'Or' What
par,through
ou,Where
chose,thing
bon,Well
merci,thank you
ont,have
juste,fair
très,very
jamais,never
été,summer
avoir,have
vraiment,really
aussi,also
voir,to see
oh,Oh
sa,her
même,same
maintenant,now
tous,all
peut,can
deux,of them
ces,those
ta,your
allez,come on
êtes,are
autre,other 
fais,do 
peu,little
quelque,some
toujours,still
encore,Again
notre,our
mes,my
besoin,need
avait,had
accord,OK
faut,should
dois,must
vie,life
aller,go
fois,times
vu,seen
sans,without
donc,So
étais,is
monde,world
avant,before
sûr,safe
parce,by
trop,too much
parler,to speak
père,father
personne,no one
avais,had
crois,believe
après,after
ouais,yeah
dieu,god
ses,his
pense,thought
aime,love
eu,eu
homme,male
viens,come
femme,women
ok,okay
leur,their
vrai,TRUE
ans,years
veut,wanna
doit,must
mal,evil
chez,at the house of
déjà,already
beaucoup,a lot
mort,dead
bonne,good
vos,your
mieux,better
mère,mother
vas,go
fille,daughter
dis,say
sera,will be
tes,your 
gens,people
quel,what
vois,see 
désolé,sorry
voilà,There
petit,little
maison,house
avons,have
soit,that is
soir,evening
cela,that
autres,others
toute,all
passé,past
jour,day
prendre,take
monsieur,sir
savoir,know
argent,silver
choses,things
salut,Hi
nom,name
nos,our
nuit,night
bonjour,good morning
raison,raison
moins,less
arrive,arrived
maman,mom
reste,rest
voulais,wanted
seul,alone
moment,moment
aider,help
papa,dad
entre,Between
aurais,would have
passe,pass
problème,problem
peur,fear
regarde,looked
gars,guys
voulez,want
fils,son
trouvé,found
attends,hold on
eh,eh
savez,know
trois,three
dû,of
assez,quite
plaît,jail
famille,family
trouver,find
toutes,all
travail,work 
quelle,what
tête,head
pourrait,might
pris,taken
pu,could
appelle,call
quelques,a few
sait,knows
sommes,are
arrête,stopped
vite,fast
partir,leave
faites,done
seule,only
serait,would be
hé,Hey
merde,shit
tuer,kill
chance,chance
pendant,during
parle,speak
idée,idea
aurait,would have
jours,days
elles,they
hui,hui
demain,tomorrow
grand,tall
ami,friend
tard,late
mec,guy
hein,eh
petite,small
connais,know
passer,to pass
truc,thing
tant,so much
combien,How many
sens,meaning
puis,then
porte,door
super,Great
heure,hour
entendu,understood
contre,against
coup,kick
vient,come
comprends,understand
allons,lets go
ensemble,together
nouveau,new 
amour,love
importe,imported
sang,blood
désolée,sorry
prends,take
sous,under
cas,case
rester,to stay
tué,kill
hommes,men
fini,finished
devrais,should
question,question
dernière,last
partie,part
histoire,story
chercher,seek
seulement,only
police,police
pensais,thought
aide,assistance
genre,gender
mois,month
frère,brother
laisser,to leave 
car,because
mettre,put
aucun,none
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,are going
revoir,meet again
aucune,none
place,square
ni,neither
compris,Understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,affair
donner,give
type,kind
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
écoute,listen
dont,whose
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
tiens,take
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,following
pardon,sorry
venez,come
devant,before
vers,worms
minutes,minutes
demandé,request
chambre,room
mis,put
belle,pretty
droit,right
aimerais,would like to
mme,mrs
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,wait
parti,left
nouvelle,New
boulot,gig
arrêter,Stop
dirait,would say
terre,earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,dear
gros,large
filles,girls
jouer,player
bureau,desk
hier,yesterday
prêt,ready
mourir,die
voulait,wanted to
celui,that's why I wrote to you
demander,request
possible,possible
jeune,young
dehors,out
euh,uh
école,school
beau,beautiful
appeler,to call
propos,about
femmes,women
vérité,truth
chef,chief
confiance,confidence
hey,hey
regardez,look
feu,fire
vivre,live
docteur,doctor
journée,daytime
près,near
affaires,business
madame,Mrs.
meilleur,better
dessus,above
prie,pray
mains,hands
penses,thinking
téléphone,telephone
devez,must
dur,hard
appelé,called
manger,eat
garçon,boy
grande,big
ait,has
mariage,wedding
équipe,team 
arriver,to arrive
marche,walking
dr,DR
guerre,war
derrière,rear
dites,say
plein,full
important,important
fort,strong
exactement,exactly
parents,parents
ii,II
pensé,thought
fou,mad
fête,Party
tomber,to fall
attendre,hang on
ceux,those
vue,view
jeu,Game
génial,awesome
souviens,remember
envie,desire
pays,country
cours,Classes
pos,post
numéro,number
bientôt,soon
cinq,five
parfait,perfect
laissé,leash
minute,minute
ainsi,Therefore
personnes,people
autant,as much
essayé,tried
peine,sadness
serai,will be
instant,moment
mauvais,Wrong
arme,armed
prison,jail
penser,to think
mot,word
prend,take
film,film
ben,ben
quatre,four
essayer,to try
rentrer,to return
plan,plan
travailler,work
regarder,look
parfois,sometimes
abord,on board
voyez,see
faute,mistake
croyais,believed
choix,choice
bas,low
heureux,happy
facile,easy
voudrais,would like
entendre,To hear
changer,change
lit,bed
entrer,enter
plaisir,pleasure
ensuite,afterwards
fera,will
allait,was going to
étiez,have been
propre,own
route,road
tour,round
travaille,work
adore,adore
amie,friend
année,year
drôle,funny
service,service
attend,waits
voit,sees
rendre,to return
agent,agent
dollars,dollars
commence,begin
lieu,location
devoir,to have to
sûre,safe
difficile,difficult
pire,worse 
sorte,sort
ira,will go
ceci,this
état,state
morte,dead
voulu,desired
peuvent,can
bizarre,weird
chien,dog 
perdre,lose
impossible,impossible
faisait,did
mlle,Miss
oublié,forgot
ferai,will do
tôt,early
the,tea
dès,of the
payer,to pay
arrêtez,Stop
serais,would be
coeur,heart
reviens,come back
pouvais,could
inquiète,worry
café,coffee
suffit,enough
verre,glass
parles,speak
aimes,love
cherche,look for
ferme,closed
problèmes,problems
photo,Photo
sûrement,surely
montrer,to show
pensez,think
cœur,heart
meurtre,murder
hôpital,hospital
musique,music
veulent,want
avis,notice
sauf,except
courant,fluent
seconde,second
fous,crazy
trucs,stuff
questions,issues
allais,alla
cool,cool
nouvelles,news
sérieux,serious
john,john
marché,market
gentil,kind
haut,high
malade,sick
allé,go
devons,owe
dîner,having dinner
esprit,mind
sors,go outside
moyen,AVERAGE
jack,jack
six,six
changé,exchange
semaines,weeks
salle,room
sauver,to save
celle,that
cul,ass
seigneur,lord
simple,simple
appris,learned
commencé,start
bras,arm
suppose,Assumed
chéri,dear
partout,all over
visage,face
prochaine,next
ecoute,listen
chemin,way
retard,delay
soirée,evening
meilleure,best
écrit,writing
livre,book
s,s
face,face
ferais,would do
boire,to drink
new,new
vaut,worth
h,h
surtout,above all
soyez,be
morts,dead
bois,wood
joue,play
rapport,report
message,message
rentre,go home
pauvre,poor
erreur,mistake
sinon,otherwise
plait,beating
honneur,honor
devait,had to
entends,hear
mets,put
sam,sat
rencontrer,to encounter
an,year
occupe,to keep busy
devenir,become
souvent,often
revenir,to come back
pièce,piece
dormir,sleep
grave,severe
commencer,begin
roi,king
groupe,band
carte,menu
intérieur,interior
reçu,received
rêve,dream
bonsoir,good evening
faux,fake
aviez,had
manque,lack 
écoutez,Listen
appel,call
sac,bag
content,happy
cher,dear
président,president
envoyé,sent
puisse,may
acheter,to buy
début,beginning
secret,secret
venue,come
patron,boss
noël,christmas
voyons,let's see
cheveux,hair
rue,street
continue,keep on going
prix,price
gagner,earn
mauvaise,bad
effet,effect
tirer,shoot
avocat,lawyer
certains,some
grâce,grace
voix,voice
général,general
promis,promised
noir,black
long,long
apprendre,learn
avaient,had
laissez,leave
dix,ten
accident,accident
probablement,most likely
déteste,hated
cru,believed
oublie,forget
millions,millions
bout,end 
ordre,order
okay,Okay
incroyable,unbelievable
aurai,will have
ressemble,looks like
scène,stage
voyage,journey
bienvenue,welcome
petits,small
force,strength
simplement,simply
disparu,gone
ailleurs,elsewhere
york,york
connaissez,know
prête,ready
soeur,sister
situation,situation
protéger,protect
hôtel,hotel
utiliser,utilize
devriez,should
sœur,sister
complètement,completely
crime,crime
dos,back
armée,army
sale,dirty
anniversaire,birthday
oncle,uncle
victime,victim
rappelle,remember
agit,act
arrêté,stopped
paix,peace
battre,beat
bouge,move
finir,finish
pars,go
libre,free
rencontré,encounter
avion,airplane
i,I
rouge,red
réussi,succeeded
mots,words
bateau,ship
sympa,nice
restez,Stay
stupide,stupid
seras,will be
médecin,doctor
photos,Pictures
balle,ball
contrôle,control
table,table
fond,background
bordel,mess
décidé,decided
fasse,do
habitude,habit
impression,impression
surprise,surprise
porter,carry
autour,around
colère,anger
or,gold
ligne,line
croyez,believe
devais,had to
savait,knew
gagné,won
jolie,pretty one
heureuse,happy
magnifique,gorgeous
seront,will be
gauche,left
imagine,conceived
clair,clear
charlie,charlie
sorti,got out
neuf,new
su,su
volé,Fly
cadeau,gift
risque,risk
parlez,speak
système,system
inspecteur,inspector
ferait,would do
terminé,ended
disais,said
ouvre,open
dedans,inside
pote,pal
expliquer,explain
espèce,species
montre,watch
auras,auras
pied,foot
présent,here
disent,say
michael,Michael
marcher,walk
pieds,feet
lumière,light
vraie,real
pourra,may
réponse,reply
suivre,follow
moitié,half
club,club
pouvons,can
fallait,had to
doivent,must
pareil,the same
joli,nice
vieille,old
camp,camp
vouloir,want to
envoyer,send
mission,assignment
grosse,fat
soleil,Sun
selon,according to
arrière,back
tue,kill
lire,read
devenu,became
doucement,gently
tenir,hold
sortie,exit
rend,renders
flics,cops
exact,exact
